1920x1080
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1498 y:577
x:1380 y:349
x:1380 y:349
x:1380 y:349
x:1380 y:349
x:1380 y:349
x:1380 y:349
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:351
x:1420 y:352
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1415 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1410 y:348
x:1411 y:351
x:1411 y:351
x:1411 y:351
x:1411 y:351
x:1411 y:351
x:1411 y:351
x:1411 y:351
x:1411 y:348
x:1411 y:348
x:1411 y:348
x:1411 y:348
x:1411 y:348
x:1402 y:332
x:1402 y:333
x:1401 y:322
x:1401 y:322
x:1401 y:322
x:1394 y:314
x:1385 y:299
x:1363 y:268
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1364 y:280
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
x:1361 y:285
